,_id,animalSettlement,animalType,isPregmant,weight
335,642354130dac55003013501d,1a40025792,VACA,False,100.0
336,642354130dac55003013501b,1a40025792,VACA,False,100.0
337,642354130dac550030135021,1a40025792,VACA,False,100.0
338,642354130dac55003013502b,1a40025792,VACA,False,100.0
339,642354140dac55003013502f,1a40025792,VACA,False,100.0
340,642354130dac55003013502d,1a40025792,VACA,False,100.0
341,642354140dac550030135031,1a40025792,VACA,False,100.0
342,642354140dac550030135033,1a40025792,VACA,False,100.0
343,642354140dac55003013503d,1a40025792,VACA,False,100.0
344,642354140dac550030135043,1a40025792,VACA,False,100.0
345,642354140dac55003013503f,1a40025792,VACA,False,100.0
346,642354140dac550030135041,1a40025792,VACA,False,100.0
347,642354140dac55003013503b,1a40025792,VACA,False,100.0
348,642354180dac550030135075,1a40025792,VACA,False,100.0
349,642354180dac550030135073,1a40025792,VACA,False,100.0
350,642354180dac550030135077,1a40025792,VACA,False,100.0
351,642354180dac550030135071,1a40025792,VACA,False,100.0
352,642354180dac55003013507d,1a40025792,VACA,False,100.0
353,642354180dac55003013507b,1a40025792,VACA,False,100.0
354,642354180dac55003013507f,1a40025792,VACA,False,100.0
355,642354180dac550030135079,1a40025792,VACA,False,100.0
356,642354180dac550030135083,1a40025792,VACA,False,100.0
357,642354180dac550030135085,1a40025792,VACA,False,100.0
358,642354180dac550030135087,1a40025792,VACA,False,100.0
359,642354180dac550030135081,1a40025792,VACA,False,100.0
360,642354180dac5500301350a4,1a40025792,VACA,False,100.0
361,642354180dac5500301350a2,1a40025792,VACA,False,100.0
362,642354180dac5500301350a6,1a40025792,VACA,False,100.0
363,642354180dac5500301350a8,1a40025792,VACA,False,100.0
364,642354190dac5500301350d0,1a40025792,VACA,False,100.0
365,642354190dac5500301350d2,1a40025792,VACA,False,100.0
366,642354190dac5500301350d4,1a40025792,VACA,False,100.0
367,642354190dac5500301350ce,1a40025792,VACA,False,100.0
368,642354190dac5500301350da,1a40025792,VACA,False,100.0
369,642354190dac5500301350dc,1a40025792,VACA,False,100.0
370,642354190dac5500301350d6,1a40025792,VACA,False,100.0
371,642354190dac5500301350d8,1a40025792,VACA,False,100.0
372,642354190dac5500301350e2,1a40025792,VACA,False,100.0
373,642354190dac5500301350de,1a40025792,VACA,False,100.0
374,642354190dac5500301350e4,1a40025792,VACA,False,100.0
375,642354190dac5500301350e0,1a40025792,VACA,False,100.0
376,642354190dac5500301350ea,1a40025792,VACA,False,100.0
377,642354190dac5500301350e6,1a40025792,VACA,False,100.0
378,642354190dac5500301350e8,1a40025792,VACA,False,100.0
379,642354190dac5500301350ec,1a40025792,VACA,False,100.0
380,6423541a0dac5500301350f3,1a40025792,VACA,False,100.0
381,642356d10dac5500301357f9,1a40025792,VACA,False,100.0
382,642356d10dac5500301357f7,1a40025792,VACA,False,100.0
383,642356d10dac550030135809,1a40025792,VACA,False,100.0
384,642356d10dac550030135807,1a40025792,VACA,False,100.0
385,642356d10dac550030135805,1a40025792,VACA,False,100.0
386,642356d10dac550030135816,1a40025792,VACA,False,100.0
387,642356d10dac550030135814,1a40025792,VACA,False,100.0
388,642356d10dac550030135812,1a40025792,VACA,False,100.0
389,642356d10dac550030135821,1a40025792,VACA,False,100.0
390,642356d10dac550030135825,1a40025792,VACA,False,100.0
391,642356d10dac550030135823,1a40025792,VACA,False,100.0
392,642356d10dac55003013582e,1a40025792,VACA,False,100.0
393,642356d10dac550030135830,1a40025792,VACA,False,100.0
394,642356d10dac55003013583f,1a40025792,VACA,False,100.0
395,642356d10dac550030135841,1a40025792,VACA,False,100.0
396,642356d10dac550030135843,1a40025792,VACA,False,100.0
397,642356d10dac550030135845,1a40025792,VACA,False,100.0
398,642356d10dac550030135847,1a40025792,VACA,False,100.0
399,642356d10dac550030135849,1a40025792,VACA,False,100.0
400,642356d10dac55003013584b,1a40025792,VACA,False,100.0
401,642356d10dac55003013585c,1a40025792,VACA,False,100.0
402,642356d10dac55003013585a,1a40025792,VACA,False,100.0
403,642356d10dac550030135856,1a40025792,VACA,False,100.0
404,642356d10dac55003013585e,1a40025792,VACA,False,100.0
405,642356d10dac550030135858,1a40025792,VACA,False,100.0
